frame,time_s,n_points,device_x,device_y,device_z,world_x,world_y,world_z
76,35.0333,88,0.32516,-0.10357,0.53173,-4.03596,2.99296,-0.16832
77,35.0667,84,0.31748,-0.10323,0.52246,-4.03009,2.99349,-0.15732
78,35.1,96,0.3152,-0.1059,0.52513,-4.02881,2.98958,-0.1589
79,35.1333,114,0.31786,-0.10492,0.5298,-4.03023,2.99025,-0.16412
80,35.1667,126,0.31384,-0.10628,0.52235,-4.02706,2.9897,-0.15567
81,35.2,145,0.31019,-0.10399,0.51658,-4.02354,2.99186,-0.14978
82,35.2333,142,0.307,-0.10535,0.51612,-4.02127,2.98959,-0.1484
83,35.2667,180,0.30374,-0.1019,0.51713,-4.01551,2.99088,-0.14913
84,35.3,224,0.30331,-0.10084,0.51543,-4.0149,2.9921,-0.14759
85,35.3333,191,0.3027,-0.09975,0.51265,-4.01426,2.99356,-0.145
86,35.3667,141,0.30419,-0.09871,0.51528,-4.01367,2.99568,-0.14885
87,35.4,162,0.30426,-0.10143,0.51032,-4.01547,2.99453,-0.14362
88,35.4333,154,0.30532,-0.10396,0.51257,-4.01717,2.99209,-0.14554
89,35.4667,161,0.31027,-0.10863,0.51401,-4.02196,2.98835,-0.14709
90,35.5,187,0.31418,-0.11035,0.51235,-4.02642,2.98867,-0.14605
91,35.5333,207,0.31069,-0.11168,0.50004,-4.02541,2.98936,-0.13325
92,35.5667,255,0.31136,-0.11443,0.49196,-4.02443,2.98362,-0.12514
93,35.6,270,0.30712,-0.1158,0.46891,-4.02426,2.98684,-0.10188
94,35.6333,334,0.30486,-0.12116,0.45973,-4.02557,2.98358,-0.0916
95,35.6667,365,0.30539,-0.12527,0.45491,-4.01977,2.97257,-0.08676
96,35.7,411,0.30148,-0.13387,0.45532,-4.01935,2.96336,-0.08465
97,35.7333,514,0.30942,-0.14198,0.47199,-4.02726,2.95435,-0.10088
98,35.7667,518,0.30738,-0.14896,0.49197,-4.00517,2.92347,-0.11664
99,35.8,541,0.30032,-0.16196,0.52701,-3.99732,2.90025,-0.14572
